,Word,Definition
29,turing machine,1. a hypothetical computer with an infinitely long memory tape
30,door,1. a swinging or sliding barrier that will close the entrance to a room or building or vehicle    2. a room that is entered via a door    3. a structure where people live or work (usually ordered along a street or road)
31,polymath,1. a person of great and varied learning
32,developed,1. being changed over time so as to be e.g. stronger or more complete or more useful    2. (of real estate) made more useful and profitable as by building or laying out roads    3. (used of societies) having high industrial development
33,cybernate,"1. control a function, process, or creation by a computer"
34,busbar,1. an electrical conductor that makes a common connection between several circuits
35,monitoring device,1. display produced by a device that takes signals and displays them on a television screen or a computer monitor
36,persia,1. a theocratic Islamic republic in the Middle East in western Asia; Iran was the core of the ancient empire that was known as Persia until 1935; rich in oil    2. an empire in southern Asia created by Cyrus the Great in the 6th century BC and destroyed by Alexander the Great in the 4th century BC
37,format,1. the general appearance of a publication    2. the organization of information according to preset specifications (usually for computer processing)    3. divide (a disk) into marked sectors so that it may store data
38,web browser,1. a program used to view HTML documents
39,electronic computer,1. a machine for performing calculations automatically
40,gadget,1. a device or control that is very useful for a particular job
41,mobile phone,"1. a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver"
42,screen,1. a protective covering that keeps things out or hinders sight    2. a protective covering consisting of netting; can be mounted in a frame    3. a covering that serves to conceal or shelter something
43,digital computer,1. a computer that represents information by numerical (binary) digits
44,washing machine,1. a home appliance for washing clothes and linens automatically
45,projector,1. an optical instrument that projects an enlarged image onto a screen    2. an optical device for projecting a beam of light
46,assembly language,1. a low-level programing language; close approximation to machine language
47,memory chip,1. a RAM microchip that can be plugged into a computer to provide additional memory
48,portable computer,1. a personal computer that can easily be carried by hand
49,floppy,1. a small plastic magnetic disk enclosed in a stiff envelope with a radial slit; used to store data or programs for a microcomputer    2. hanging limply
50,handheld,1. small and light enough to be operated while you hold it in your hands
51,compact disc,1. a digitally encoded recording on an optical disk that is smaller than a phonograph record; played back by a laser
52,word processor,1. an application that provides the user with tools needed to write and edit and format text and to send it to a printer
53,programmer,1. a person who designs and writes and tests computer programs
54,browser,1. a program used to view HTML documents    2. a viewer who looks around casually without seeking anything in particular
55,system,1. instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity    2. an ordered manner; orderliness by virtue of being methodical and well organized    3. the living body considered as made up of interdependent components forming a unified whole
56,concept,1. an abstract or general idea inferred or derived from specific instances
57,interpreter,1. (computer science) a program that translates and executes source language statements one line at a time    2. someone who mediates between speakers of different languages    3. someone who uses art to represent something
58,medicine,1. the learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or curing diseases and injuries    2. punishment for one's actions    3. (medicine) something that treats or prevents or alleviates the symptoms of disease
59,star chart,1. a chart showing the relative positions of the stars in a particular part of the sky
60,guest,1. (computer science) any computer that is hooked up to a computer network    2. a visitor to whom hospitality is extended    3. a customer of a hotel or restaurant etc.
61,monitor,1. any of various large tropical carnivorous lizards of Africa and Asia and Australia; fabled to warn of crocodiles    2. a piece of electronic equipment that keeps track of the operation of a system continuously and warns of trouble    3. electronic equipment that is used to check the quality or content of electronic transmissions
62,throughput,1. output relative to input; the amount passing through a system from input to output (especially of a computer program over a period of time)
63,punch card,1. a card on which data can be recorded in the form of punched holes
64,computer accessory,1. an accessory for a computer
65,john von neumann,1. United States mathematician who contributed to the development of atom bombs and of stored-program digital computers (1903-1957)
66,cryptography,1. act of writing in code or cipher    2. the science of analyzing and deciphering codes and ciphers and cryptograms
67,execution,1. the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it    2. unlawful premeditated killing of a human being by a human being    3. the act of accomplishing some aim or executing some order
68,von neumann machine,1. any digital computer incorporating the ideas of stored programs and serial counters that were proposed in 1946 by von Neumann and his colleagues
69,fighter aircraft,1. a high-speed military or naval airplane designed to destroy enemy aircraft in the air
70,cathode-ray tube,1. a vacuum tube in which a hot cathode emits a beam of electrons that pass through a high voltage anode and are focused or deflected before hitting a phosphorescent screen
71,tracking,1. the pursuit (of a person or animal) by following tracks or marks they left behind
72,electronic,1. of or relating to electronics; concerned with or using devices that operate on principles governing the behavior of electrons    2. of or concerned with electrons
73,computer architecture,1. (computer science) the structure and organization of a computer's hardware or system software    2. the art of assembling logical elements into a computing device; the specification of the relation between parts of a computer system
74,relay,1. the act of passing something along from one person or group to another    2. electrical device such that current flowing through it in one circuit can switch on and off a current in a second circuit    3. a race between teams; each member runs or swims part of the distance
75,central processor,1. (computer science) the part of a computer (a microprocessor chip) that does most of the data processing
76,cellphone,"1. a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver"
77,subtracter,1. a machine that subtracts numbers    2. a person who subtracts numbers
78,mnemonic,1. a device (such as a rhyme or acronym) used to aid recall    2. of or relating to or involved the practice of aiding the memory
79,information processing system,1. a machine for performing calculations automatically
80,flash memory,1. nonvolatile storage that can be electrically erased and programmed anew
81,vehicle,1. a conveyance that transports people or objects    2. a medium for the expression or achievement of something    3. any inanimate object (as a towel or money or clothing or dishes or books or toys etc.) that can transmit infectious agents from one person to another
82,c.p.u.,1. (computer science) the part of a computer (a microprocessor chip) that does most of the data processing
83,initialise,1. divide (a disk) into marked sectors so that it may store data    2. assign an initial value to a computer program
84,crash,1. the act of colliding with something    2. a serious accident (usually involving one or more vehicles)    3. a loud resonant repeating noise
85,audio,1. the sound elements of television    2. a recording of acoustic signals    3. an audible acoustic wave frequency
86,techie,1. a technician who is highly proficient and enthusiastic about some technical field (especially computing)
87,cryptology,1. the science of analyzing and deciphering codes and ciphers and cryptograms
88,news,"1. the quality of being sufficiently interesting to be reported in news bulletins    2. a program devoted to current events, often using interviews and commentary    3. information about recent and important events"
89,totaliser,1. a calculator that performs simple arithmetic functions    2. computer that registers bets and divides the total amount bet among those who won
90,expert,1. a person with special knowledge or ability who performs skillfully    2. having or showing knowledge and skill and aptitude    3. of or relating to or requiring special knowledge to be understood
91,node,1. (computer science) any computer that is hooked up to a computer network    2. any bulge or swelling of an anatomical structure or part    3. the source of lymph and lymphocytes
92,information,1. (communication theory) a numerical measure of the uncertainty of an outcome    2. knowledge acquired through study or experience or instruction    3. a message received and understood
93,computational,1. of or involving computation or computers
94,personal digital assistant,1. a lightweight consumer electronic device that looks like a hand-held computer but instead performs specific tasks; can serve as a diary or a personal database or a telephone or an alarm clock etc.
95,scratchpad,1. (computer science) a high-speed internal memory used for temporary storage of preliminary information
96,conditional,1. imposing or depending on or containing a condition    2. qualified by reservations
97,identity theft,"1. the co-option of another person's personal information (e.g., name, Social Security number, credit card number, passport) without that person's knowledge and the fraudulent use of such knowledge"
98,memory board,1. an electronic memory device
99,photolithography,1. a planographic printing process using plates made from a photographic image
100,minicomputer,1. a digital computer of medium size
101,integral,1. the result of a mathematical integration; F(x) is the integral of f(x) if dF/dx = f(x)    2. constituting the undiminished entirety; lacking nothing essential especially not damaged    3. existing as an essential constituent or characteristic
102,bot,1. botfly larva; typically develops inside the body of a horse or sheep or human
103,diskette,1. a small plastic magnetic disk enclosed in a stiff envelope with a radial slit; used to store data or programs for a microcomputer
104,calendar,1. a list or register of events (appointments or social events or court cases etc)    2. a tabular array of the days (usually for one year)    3. a system of timekeeping that defines the beginning and length and divisions of the year
105,adder,1. small terrestrial viper common in northern Eurasia    2. a machine that adds numbers    3. a person who adds numbers
106,computer network,1. (computer science) a network of computers
107,wire,1. ligament made of metal and used to fasten things or make cages or fences etc    2. a metal conductor that carries electricity over a distance    3. a message transmitted by telegraph
108,programming language,1. (computer science) a language designed for programming computers
109,computer programming,1. creating a sequence of instructions to enable the computer to do something
110,fertile crescent,1. a geographical area of fertile land in the Middle East stretching in a broad semicircle from the Nile to the Tigris and Euphrates
111,silicon,1. a tetravalent nonmetallic element; next to oxygen it is the most abundant element in the earth's crust; occurs in clay and feldspar and granite and quartz and sand; used as a semiconductor in transistors
112,vacuum tube,1. electronic device consisting of a system of electrodes arranged in an evacuated glass or metal envelope
113,camera,1. equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)    2. television equipment consisting of a lens system that focuses an image on a photosensitive mosaic that is scanned by an electron beam
114,computerize,"1. control a function, process, or creation by a computer    2. store in a computer    3. provide with computers"
115,loom,1. a textile machine for weaving yarn into a textile    2. weave on a loom    3. appear very large or occupy a commanding position
116,photostat machine,1. a duplicating machine that makes quick positive or negative copies directly on the surface of prepared paper
117,webcam,1. a digital camera designed to take digital photographs and transmit them over the internet
118,interconnection,1. (computer science) the act of interconnecting (wires or computers or theories etc.)    2. a state of being connected reciprocally
119,amsterdam,1. an industrial center and the nominal capital of the Netherlands; center of the diamond-cutting industry; seat of an important stock exchange; known for its canals and art museum
120,microchip,1. electronic equipment consisting of a small crystal of a silicon semiconductor fabricated to carry out a number of electronic functions in an integrated circuit
121,host,1. an animal or plant that nourishes and supports a parasite; it does not benefit and is often harmed by the association    2. (computer science) a computer that provides client stations with access to files and printers as shared resources to a computer network    3. a technical name for the bread used in the service of Mass or Holy Communion
122,screen saver,1. (computer science) a moving design that appears on a computer screen when there has been no input for a specified period of time
123,crt,1. a vacuum tube in which a hot cathode emits a beam of electrons that pass through a high voltage anode and are focused or deflected before hitting a phosphorescent screen
124,figurer,1. an expert at calculation (or at operating calculating machines)
125,lead,1. the playing of a card to start a trick in bridge    2. a position of being the initiator of something and an example that others will follow (especially in the phrase take the lead')    3. a jumper that consists of a short piece of wire
126,electricity,1. keen and shared excitement    2. a physical phenomenon associated with stationary or moving electrons and protons    3. energy made available by the flow of electric charge through a conductor
127,robot,1. a mechanism that can move automatically
128,microcomputer,1. a small digital computer based on a microprocessor and designed to be used by one person at a time
129,read-out,1. an electronic device the displays information in a visual form    2. the information displayed or recorded on an electronic device    3. the output of a computer in readable form
130,digital communication,1. electronic transmission of information that has been encoded digitally (as for storage and processing by computers)
131,log in,1. enter a computer
132,supercomputer,1. a mainframe computer that is one of the most powerful available at a given time
133,cybernetic,1. of or relating the principles of cybernetics
134,telephone exchange,1. a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication
135,smart,1. a kind of pain such as that caused by a wound or a burn or a sore    2. be the source of pain    3. capable of independent and apparently intelligent action
136,back up,1. establish as valid or genuine    2. become or cause to become obstructed    3. make a copy of (a computer file) especially for storage in another place as a security copy
137,multimedia,1. transmission that combine media of communication (text and graphics and sound etc.)
138,byte,1. a sequence of 8 bits (enough to represent one character of alphanumeric data) processed as a single unit of information
139,sophisticated,1. ahead in development; complex or intricate    2. intellectually appealing    3. having or appealing to those having worldly knowledge and refinement and savoir-faire
140,printer,1. a machine that prints    2. (computer science) an output device that prints the results of data processing    3. someone whose occupation is printing
141,internet site,1. a computer connected to the internet that maintains a series of web pages on the World Wide Web
142,totalizer,1. a calculator that performs simple arithmetic functions    2. computer that registers bets and divides the total amount bet among those who won
143,slide rule,1. analog computer consisting of a handheld instrument used for rapid calculations; have been replaced by pocket calculators
144,incompatible,1. not compatible    2. incapable of being used with or connected to other devices or components without modification    3. used especially of solids or solutions; incapable of blending into a stable homogeneous mixture
145,disk,1. a flat circular plate    2. (computer science) a memory device consisting of a flat disk covered with a magnetic coating on which information is stored    3. sound recording consisting of a disk with a continuous groove; used to reproduce music by rotating while a phonograph needle tracks in the groove
146,gnome,1. a short pithy saying expressing a general truth    2. a legendary creature resembling a tiny old man; lives in the depths of the earth and guards buried treasure
147,tech,1. a school teaching mechanical and industrial arts and the applied sciences
148,electroencephalograph,1. medical instrument that records electric currents generated by the brain
149,floppy disk,1. a small plastic magnetic disk enclosed in a stiff envelope with a radial slit; used to store data or programs for a microcomputer
150,reckoner,1. a handbook of tables used to facilitate computation    2. an expert at calculation (or at operating calculating machines)
151,using,1. an act that exploits or victimizes someone (treats them unfairly)
152,home computer,1. a computer intended for use in the home
153,credit card,1. a card (usually plastic) that assures a seller that the person using it has a satisfactory credit rating and that the issuer will see to it that the seller receives payment for the merchandise delivered
154,computer simulation,1. (computer science) the technique of representing the real world by a computer program
155,web site,1. a computer connected to the internet that maintains a series of web pages on the World Wide Web
156,square root,1. a number that when multiplied by itself equals a given number
157,computer system,1. a system of one or more computers and associated software with common storage
158,virtual reality,"1. a hypothetical three-dimensional visual world created by a computer; user wears special goggles and fiber optic gloves etc., and can enter and move about in this world and interact with objects as if inside it"
159,learning,1. the cognitive process of acquiring skill or knowledge    2. profound scholarly knowledge
160,subroutine,"1. a set sequence of steps, part of larger computer program"
161,compute,1. make a mathematical calculation or computation
162,hang,1. a gymnastic exercise performed on the rings or horizontal bar or parallel bars when the gymnast's weight is supported by the arms    2. the way a garment hangs    3. a special way of doing something
163,user,1. a person who takes drugs    2. a person who uses something or someone selfishly or unethically    3. a person who makes use of a thing; someone who uses or employs something
164,word,1. a unit of language that native speakers can identify    2. the sacred writings of the Christian religions    3. information about recent and important events
165,videocassette recorder,1. a magnetic tape recorder for recording (and playing back) TV programs
166,real number,1. any rational or irrational number
167,up,1. raise    2. out of bed    3. used up
168,great britain,1. an island comprising England and Scotland and Wales    2. a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; Great Britain' is often used loosely to refer to the United Kingdom
169,data communication,1. electronic transmission of information that has been encoded digitally (as for storage and processing by computers)
170,read-only memory,1. (computer science) memory whose contents can be accessed and read but cannot be changed
171,platform,1. a woman's shoe with a very high thick sole    2. a raised horizontal surface    3. any military structure or vehicle bearing weapons
172,processing,1. preparing or putting through a prescribed procedure
173,day,1. United States writer best known for his autobiographical works (1874-1935)    2. a period of opportunity    3. some point or period in time
174,advanced,1. situated ahead or going before    2. (of societies) highly developed especially in technology or industry    3. far along in time
175,site,1. a computer connected to the internet that maintains a series of web pages on the World Wide Web    2. physical position in relation to the surroundings    3. the piece of land on which something is located (or is to be located)
176,google,1. a widely used search engine that uses text-matching techniques to find web pages that are important and relevant to a user's search    2. search the internet (for information) using the Google search engine
177,ram,1. uncastrated adult male sheep    2. a tool for driving or forcing something by impact    3. the most common computer memory which can be used by programs to perform necessary tasks while the computer is on; an integrated circuit memory chip allows information to be stored or accessed in any order and all storage locations are equally accessible
178,operating,1. being in effect or operation    2. involved in a kind of operation
179,data,1. a collection of facts from which conclusions may be drawn
180,microprocessor chip,1. electronic equipment consisting of a small crystal of a silicon semiconductor fabricated to carry out a number of electronic functions in an integrated circuit
181,branch,1. any projection that is thought to resemble a human arm    2. a division of some larger or more complex organization    3. a stream or river connected to a larger one
182,computer graphic,1. an image that is generated by a computer
183,micro,1. extremely small in scale or scope or capability
184,chip,1. the act of chipping something    2. (golf) a low running approach shot    3. electronic equipment consisting of a small crystal of a silicon semiconductor fabricated to carry out a number of electronic functions in an integrated circuit
185,data converter,1. converter for changing information from one code to another
186,hero of alexandria,1. Greek mathematician and inventor who devised a way to determine the area of a triangle and who described various mechanical devices (first century)
187,computing,1. the procedure of calculating; determining something by mathematical or logical methods    2. the branch of engineering science that studies (with the aid of computers) computable processes and structures
188,readout,1. an electronic device the displays information in a visual form    2. the information displayed or recorded on an electronic device    3. the output of a computer in readable form
189,hour,1. distance measured by the time taken to cover it    2. a period of time equal to 1/24th of a day    3. clock time
190,matrix,"1. mold used in the production of phonograph records, type, or other relief surface    2. the formative tissue at the base of a nail    3. the body substance in which tissue cells are embedded"
191,mainframe,1. (computer science) the part of a computer (a microprocessor chip) that does most of the data processing    2. a large digital computer serving 100-400 users and occupying a special air-conditioned room
192,dork,1. a dull stupid fatuous person
193,computing device,1. a machine for performing calculations automatically
194,peripheral,1. electronic equipment external to the circuit board that contains the CPU of a computer    2. on or near an edge or constituting an outer boundary; the outer area    3. related to the key issue but not of central importance
195,astrolabe,1. an early form of sextant
196,firmware,1. (computer science) coded instructions that are stored permanently in read-only memory
197,binary,"1. a pre-compiled, pre-linked program that is ready to run under a given operating system; a binary for one operating system will not run on a different operating system    2. a system of two stars that revolve around each other under their mutual gravitation    3. consisting of two (units or components or elements or terms)"
198,history,1. the discipline that records and interprets past events involving human beings    2. all that is remembered of the past as preserved in writing; a body of knowledge    3. a record or narrative description of past events
199,disk cache,1. a cache that stores copies of frequently used disk sectors in random access memory (RAM) so they can be read without accessing the slower disk
200,switzerland,1. a landlocked federal republic in central Europe
201,computer hardware,"1. (computer science) the mechanical, magnetic, electronic, and electrical components making up a computer system"
202,computer circuit,1. a circuit that is part of a computer
203,jacquard loom,1. a loom with an attachment for forming openings for the passage of the shuttle between the warp threads; used in weaving figured fabrics
204,machine readable,1. suitable for feeding directly into a computer
205,communications,1. the discipline that studies the principles of transmiting information and the methods by which it is delivered (as print or radio or television etc.)
206,output,1. production of a certain amount    2. final product; the things produced    3. what is produced in a given time period
207,night,1. Roman goddess of night; daughter of Erebus; counterpart of Greek Nyx    2. darkness    3. the dark part of the diurnal cycle considered a time unit
208,software,1. (computer science) written programs or procedures or rules and associated documentation pertaining to the operation of a computer system and that are stored in read/write memory
209,tool,1. the means whereby some act is accomplished    2. an implement used in the practice of a vocation    3. obscene terms for penis
210,processor,1. (computer science) the part of a computer (a microprocessor chip) that does most of the data processing    2. a business engaged in processing agricultural products and preparing them for market    3. someone who processes things (foods or photographs or applicants etc.)
211,personal computer,1. a small digital computer based on a microprocessor and designed to be used by one person at a time
212,differential analyzer,1. an analog computer designed to solve differential equations
213,electronic device,1. a device that accomplishes its purpose electronically
214,interrupt,1. a signal that temporarily stops the execution of a program so that another procedure can be carried out    2. terminate    3. destroy the peace or tranquility of
215,hard disk,1. a rigid magnetic disk mounted permanently in a drive unit
216,logarithm,1. the exponent required to produce a given number
217,binary code,1. code using a string of 8 binary digits to represent characters
218,portable,1. a small light typewriter; usually with a case in which it can be carried    2. of a motor designed to be attached to the outside of a boat's hull    3. easily or conveniently transported
219,computable,1. may be computed or estimated
220,human,"1. any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage    2. having human form or attributes as opposed to those of animals or divine beings    3. characteristic of humanity"
221,product,1. commodities offered for sale    2. an artifact that has been created by someone or some process    3. a quantity obtained by multiplication
222,integer,1. any of the natural numbers (positive or negative) or zero
223,ethernet,1. a type of network technology for local area networks; coaxial cable carries radio frequency signals between computers at a rate of 10 megabits per second
224,boolean logic,1. a system of symbolic logic devised by George Boole; used in computers
225,arithmetic,1. the branch of pure mathematics dealing with the theory of numerical calculations    2. relating to or involving arithmetic
226,operating system,1. (computer science) software that controls the execution of computer programs and may provide various services
227,hacker,1. one who works hard at boring tasks    2. a programmer for whom computing is its own reward; may enjoy the challenge of breaking into other computers but does no harm    3. someone who plays golf poorly
228,mainframe computer,1. a large digital computer serving 100-400 users and occupying a special air-conditioned room
229,traffic light,1. a visual signal to control the flow of traffic at intersections
230,pass,1. success in satisfying a test or requirement    2. (sports) the act of throwing the ball to another member of your team    3. (baseball) an advance to first base by a batter who receives four balls
231,statistician,1. someone versed in the collection and interpretation of numerical data (especially someone who uses statistics to calculate insurance premiums)    2. a mathematician who specializes in statistics
232,virtual,1. existing in essence or effect though not in actual fact    2. being actually such in almost every respect
233,hipparchus,1. Greek astronomer and mathematician who discovered the precession of the equinoxes and made the first known star chart and is said to have invented trigonometry (second century BC)
234,analog computer,"1. a computer that represents information by variable quantities (e.g., positions or voltages)"
235,do work,1. be employed
236,microwave oven,1. kitchen appliance that cooks food by passing an electromagnetic wave through it; heat results from the absorption of energy by the water molecules in the food
237,macintosh,1. a waterproof raincoat made of rubberized fabric    2. a lightweight waterproof (usually rubberized) fabric
238,analogue computer,"1. a computer that represents information by variable quantities (e.g., positions or voltages)"
239,world war ii,"1. a war between the Allies (Australia, Belgium, Bolivia, Brazil, Canada, China, Colombia, Costa Rica, Cuba, Czechoslovakia, Dominican Republic, El Salvador, Ethiopia, France, Greece, Guatemala, Haiti, Honduras, India, Iran, Iraq, Luxembourg, Mexico, Netherlands, New Zealand, Nicaragua, Norway, Panama, Philippines, Poland, South Africa, United Kingdom, United States, USSR, Yugoslavia) and the Axis (Albania, Bulgaria, Finland, Germany, Hungary, Italy, Japan, Rumania, Slovakia, Thailand) from 1939 to 1945"
240,digital,1. of a circuit or device that represents magnitudes in digits    2. relating to or performed with the fingers    3. displaying numbers rather than scale positions
241,submarine,1. a submersible warship usually armed with torpedoes    2. a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States    3. attack by submarine
242,nerves,1. control of your emotions    2. an uneasy psychological state
243,cassette recorder,1. a recorder for recording or playing cassettes
244,database management system,1. a software system that facilitates the creation and maintenance and use of an electronic database
245,workstation,1. a desktop digital computer that is conventionally considered to be more powerful than a microcomputer
246,embedded,1. inserted as an integral part of a surrounding whole    2. enclosed firmly in a surrounding mass
247,natural language,1. a human written or spoken language used by a community; opposed to e.g. a computer language
248,totalisator,1. computer that registers bets and divides the total amount bet among those who won
249,negation,1. (logic) a proposition that is true if and only if another proposition is false    2. the speech act of negating    3. a negative statement; a statement that is a refusal or denial of some other statement
250,science,1. ability to produce solutions in some problem domain    2. a particular branch of scientific knowledge
251,carrel,1. small individual study area in a library    2. French surgeon and biologist who developed a way to suture and graft blood vessels (1873-1944)
252,toxic waste,1. poisonous waste materials; can cause injury (especially by chemical means)
253,number cruncher,1. a computer capable of performing a large number of mathematical operations per second    2. someone able to perform complex and lengthy calculations
254,instruction,1. the activities of educating or instructing; activities that impart knowledge or skill    2. the profession of a teacher    3. (computer science) a line of code written as part of a computer program
255,battery,1. an assault in which the assailant makes physical contact    2. the heavy fire of artillery to saturate an area rather than hit a specific target    3. a device that produces electricity; may have several primary or secondary cells arranged in parallel or series
256,micro chip,1. electronic equipment consisting of a small crystal of a silicon semiconductor fabricated to carry out a number of electronic functions in an integrated circuit
257,hertz,1. German physicist who with James Franck proved the existence of the stationary energy states postulated by Bohr (1887-1975)    2. German physicist who was the first to produce electromagnetic waves artificially (1857-1894)    3. the unit of frequency; one hertz has a periodic interval of one second (named for Heinrich Rudolph Hertz)
258,technology,1. the application of the knowledge and usage of tools (such as machines or utensils) and techniques to control one's environment    2. machinery and equipment developed from engineering or other applied sciences    3. the discipline dealing with the art or science of applying scientific knowledge to practical problems
259,peripheral device,1. electronic equipment external to the circuit board that contains the CPU of a computer
260,touch screen,1. a computer display that enables the user to interact with the computer by touching areas on the screen
261,mobile,1. sculpture suspended in midair whose delicately balanced parts can be set in motion by air currents    2. a port in southwestern Alabama on Mobile Bay    3. a river in southwestern Alabama; flows into Mobile Bay
262,random-access memory,1. the most common computer memory which can be used by programs to perform necessary tasks while the computer is on; an integrated circuit memory chip allows information to be stored or accessed in any order and all storage locations are equally accessible
263,slot,1. a small slit (as for inserting a coin or depositing mail)    2. a slot machine that is used for gambling    3. (computer) a socket in a microcomputer that will accept a plug-in circuit board
264,lunisolar calendar,1. a calendar based on both lunar and solar cycles
265,store,1. an electronic memory device    2. a mercantile establishment for the retail sale of goods or services    3. a depository for goods
266,computer peripheral,1. electronic equipment external to the circuit board that contains the CPU of a computer
267,flashcard,1. a card with words or numbers or pictures that is flashed to a class by the teacher
268,compatible,1. able to exist and perform in harmonious or agreeable combination    2. capable of being used with or connected to other devices or components without modification    3. capable of forming a homogeneous mixture that neither separates nor is altered by chemical interaction
269,somniloquy,1. uttering speech while asleep
270,engineering,1. the practical application of technical and scientific knowledge to commerce or industry    2. a room (as on a ship) in which the engine is located    3. the discipline dealing with the art or science of applying scientific knowledge to practical problems
271,online,1. being in progress now    2. connected to a computer network or accessible by computer    3. on a regular route of a railroad or bus or airline system
272,logic gate,1. a computer circuit with several inputs but only one output that can be activated by particular combinations of inputs
273,vdu,1. (British) British term for video display
274,university of pennsylvania,"1. a university in Philadelphia, Pennsylvania"
275,integrated circuit,1. a microelectronic computer circuit incorporated into a chip or semiconductor; a whole system rather than a single component
276,equipment,1. an instrumentality needed for an undertaking or to perform a service
277,faceplate,1. a protective covering for the front of a machine or device (as a door lock or computer component)
278,germanium,1. a brittle grey crystalline element that is a semiconducting metalloid (resembling silicon) used in transistors; occurs in germanite and argyrodite
279,instance,1. an item of information that is typical of a class or group    2. an occurrence of something    3. clarify by giving an example of
280,symbol,1. something visible that by association or convention represents something else that is invisible    2. an arbitrary sign (written or printed) that has acquired a conventional significance
281,laser printer,1. electrostatic printer that focuses a laser beam to form images that are transferred to paper electrostatically
282,intranet,1. a restricted computer network; a private network created using World Wide Web software
283,cpu,1. (computer science) the part of a computer (a microprocessor chip) that does most of the data processing
284,algorithm,1. a precise rule (or set of rules) specifying how to solve some problem
285,computer science,1. the branch of engineering science that studies (with the aid of computers) computable processes and structures
286,wireless,1. a communication system based on broadcasting electromagnetic waves    2. an electronic receiver that detects and demodulates and amplifies transmitted signals    3. transmission by radio waves
287,pda,1. a lightweight consumer electronic device that looks like a hand-held computer but instead performs specific tasks; can serve as a diary or a personal database or a telephone or an alarm clock etc.
288,joseph marie jacquard,1. French inventor of the Jacquard loom that could automatically weave complicated patterns (1752-1834)
289,cellular,1. characterized by or divided into or containing cells or compartments (the smallest organizational or structural unit of an organism or organization)    2. relating to cells
